Unnamed: 0,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
199,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,20:00,22:10,"₹ 5,402"
200,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,08:45,10:55,"₹ 5,421"
201,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,11:50,14:05,"₹ 5,421"
202,Air India,BOM,DEL,2h 15m,direct,2024-06-23,10:00,12:15,"₹ 5,532"
203,Air India,BOM,DEL,2h 15m,direct,2024-06-23,11:15,13:30,"₹ 5,532"
204,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,20:40,22:55,"₹ 5,591"
205,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,12:35,14:45,"₹ 6,158"
206,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,18:30,20:40,"₹ 6,310"
207,IndiGo,BOM,DEL,2h 15m,direct,2024-06-23,12:15,14:30,"₹ 5,560"
208,Air India,BOM,DEL,2h 30m,direct,2024-06-23,16:00,18:30,"₹ 5,637"
209,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,14:15,16:25,"₹ 5,840"
210,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,18:00,20:10,"₹ 5,840"
211,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,10:25,12:40,"₹ 5,946"
212,Vistara,BOM,DEL,2h 20m,direct,2024-06-23,14:40,17:00,"₹ 6,043"
213,Air India,BOM,DEL,2h 15m,direct,2024-06-23,13:00,15:15,"₹ 6,141"
214,Air India,BOM,DEL,2h 20m,direct,2024-06-23,15:35,17:55,"₹ 6,141"
215,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,15:30,17:35,"₹ 6,260"
216,Vistara,BOM,DEL,2h 25m,direct,2024-06-23,15:45,18:10,"₹ 6,310"
217,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,19:00,21:10,"₹ 6,505"
218,Air India Express,BOM,DEL,2h 15m,direct,2024-06-23,00:40,02:55,"₹ 4,301"
219,Air India,BOM,DEL,2h 15m,direct,2024-06-23,21:00,23:15,"₹ 4,536"
220,Air India,BOM,DEL,2h 20m,direct,2024-06-23,01:30,03:50,"₹ 4,545"
221,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,05:55,08:05,"₹ 4,686"
222,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,22:50,01:00+1,"₹ 4,686"
